1.000000000000000000e+00,2.000000000000000000e+00,8.568481888569084992e-01,1.363699065182952808e+01
1.000000000000000000e+00,3.000000000000000000e+00,1.960919548683033531e+00,1.265275619696684117e+01
1.000000000000000000e+00,4.000000000000000000e+00,3.050383269399785213e+00,1.005973104917513616e+01
1.000000000000000000e+00,5.000000000000000000e+00,1.101311937194926482e+00,1.497311433309821638e+01
1.000000000000000000e+00,7.000000000000000000e+00,3.717410537730377662e+00,1.185191333631179234e+01
1.000000000000000000e+00,8.000000000000000000e+00,2.384633225884192242e+00,1.919275744848984644e+01
2.000000000000000000e+00,3.000000000000000000e+00,2.922742839887904065e+00,9.874438692388853411e+00
2.000000000000000000e+00,4.000000000000000000e+00,7.557321869575568396e-01,1.408190122166043245e+01
2.000000000000000000e+00,5.000000000000000000e+00,9.431718428635094131e-01,2.612270334178322528e+01
2.000000000000000000e+00,7.000000000000000000e+00,6.349649292731254224e-01,2.402809533097401129e+01
2.000000000000000000e+00,8.000000000000000000e+00,3.653993718551719061e-01,2.875783584622795885e+01
3.000000000000000000e+00,4.000000000000000000e+00,6.999943474639218621e-01,1.411168265666230681e+01
3.000000000000000000e+00,5.000000000000000000e+00,5.036170579477653453e-01,2.171327423665468004e+01
3.000000000000000000e+00,6.000000000000000000e+00,8.530175713527321513e-01,3.298480614651899856e+01
3.000000000000000000e+00,8.000000000000000000e+00,9.191009219936697727e-01,3.039636031999760490e+01
4.000000000000000000e+00,5.000000000000000000e+00,1.229650438818413738e+00,2.397214926596460671e+01
4.000000000000000000e+00,6.000000000000000000e+00,1.920736757395937966e+00,2.856165377575763031e+01
4.000000000000000000e+00,7.000000000000000000e+00,3.794479057600757432e+00,1.925251812999284340e+01
4.000000000000000000e+00,8.000000000000000000e+00,1.300543759663898014e+00,2.734483703196432458e+01
5.000000000000000000e+00,6.000000000000000000e+00,5.956961760873541456e-01,1.562341642365940153e+01
5.000000000000000000e+00,7.000000000000000000e+00,1.299556321761132116e+00,1.354317099016142478e+01
5.000000000000000000e+00,8.000000000000000000e+00,1.920614752776625300e+00,1.758812562742083330e+01
6.000000000000000000e+00,7.000000000000000000e+00,4.957844913205498472e+00,1.039376127479845557e+01
6.000000000000000000e+00,8.000000000000000000e+00,9.416360076672699364e+00,1.121059042363444647e+01
7.000000000000000000e+00,8.000000000000000000e+00,1.184538266217995250e+01,9.346782893801865555e+00
